Date,Client Name,Channel Name,Symbol,Status,Trade Gained Profit %,Trade Gained Profit BTC
2019-10-22 12:00:16.998984,BitMEX,World Class Traders Elite,LTC/Z19,Cancelled,0.2345,0.00000000
2019-10-23 10:00:13.798866,BitMEX,World Class Traders Elite,XRP/Z19,Cancelled,0.1703,0.00000000
2019-10-24 03:00:12.558960,BitMEX,World Class Traders Elite,LTC/Z19,Stopped out,-0.9954,0.00000000
2019-10-24 04:00:14.417969,BitMEX,World Class Traders Elite,XRP/Z19,Cancelled,0.3243,0.00000000
2019-10-25 12:00:26.687591,BitMEX,World Class Traders Elite,ETH/Z19,Stopped out,-1.4246,0.00000000
2019-10-31 09:00:08.471932,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,0.163,0.00089500
2019-10-31 12:00:12.109712,BitMEX,World Class Traders Elite,BTC/USD,Stopped out,-1.2482,-0.00686000
2019-11-01 08:00:09.857631,BitMEX,World Class Traders Elite,ETH/Z19,Cancelled,0.0169,0.00000000
2019-11-01 16:00:11.684662,BitMEX,World Class Traders Elite,ETH/Z19,Cancelled,0.0358,0.00000000
2019-11-02 13:00:12.549653,BitMEX,World Class Traders Elite,ETH/Z19,Stopped out,-0.9042,0.00000000
2019-11-02 21:00:10.144193,BitMEX,World Class Traders Elite,ETH/Z19,Stopped out,-1.3265,0.00000000
2019-11-06 07:00:11.030099,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,0.0617,0.00033100
2019-11-09 18:00:10.130149,BitMEX,World Class Traders Elite,ETH/Z19,Cancelled,0.0318,0.00000000
2019-11-09 23:00:10.800182,BitMEX,World Class Traders Elite,ETH/Z19,Cancelled,-0.2654,0.00000000
2019-11-11 10:00:13.274595,BitMEX,World Class Traders Elite,ETH/Z19,Cancelled,0.6243,0.00000000
2019-11-12 17:00:11.761263,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,-0.1381,-0.00061400
2019-11-14 12:00:11.012231,BitMEX,World Class Traders Elite,EOS/Z19,Stopped out,-1.4981,0.00000000
2019-11-17 12:00:11.371586,BitMEX,World Class Traders Elite,ETH/Z19,Cancelled,0.0523,0.00000000
