date,open,high,low,close,volume,signal
2019-04-03 05:00:00.000,19.2295,19.2804,19.12,19.2277,46988.06,
2019-04-03 06:00:00.000,19.2278,19.3599,19.2174,19.2693,63000.65,
2019-04-03 07:00:00.000,19.2874,19.3198,19.0,19.14,143804.19,
2019-04-03 08:00:00.000,19.14,19.32,19.1057,19.2969,86172.62,
2019-04-03 09:00:00.000,19.2935,19.695999999999998,19.1727,19.57,103710.7,
2019-04-03 10:00:00.000,19.5701,19.67,19.468,19.56,91044.64,
2019-04-03 11:00:00.000,19.56,19.8412,19.5404,19.6494,169902.59,
2019-04-03 12:00:00.000,19.6382,19.66,19.4,19.5169,119449.12,
2019-04-03 13:00:00.000,19.4851,19.5249,19.195,19.2576,94526.32,
2019-04-03 14:00:00.000,19.2479,19.3214,18.8011,18.9536,172241.11,
2019-04-03 15:00:00.000,18.9539,19.19,18.805,19.1559,147112.84,
2019-04-03 16:00:00.000,19.1542,19.1651,18.85,18.9658,130953.38,
2019-04-03 17:00:00.000,18.9227,19.2,18.3,18.6013,221550.15,
2019-04-03 18:00:00.000,18.6044,18.7095,18.0,18.5489,311117.53,
2019-04-03 19:00:00.000,18.5388,19.01,18.3006,18.9895,158813.75,
2019-04-03 20:00:00.000,18.9887,19.0861,18.4668,18.6014,106434.91,
2019-04-03 21:00:00.000,18.5618,19.3,18.5121,19.1225,186118.43,
2019-04-03 22:00:00.000,19.1067,19.199,18.9505,19.148,92338.31,
2019-04-03 23:00:00.000,19.160999999999998,19.167,18.934,19.0958,76984.77,
2019-04-04 00:00:00.000,19.0941,19.2,18.98,19.0328,51229.11,
2019-04-04 01:00:00.000,19.0379,19.1649,19.0235,19.1197,56613.88,
2019-04-04 02:00:00.000,19.119,19.3847,19.0302,19.32,91257.33,
2019-04-04 03:00:00.000,19.3199,19.41,19.2114,19.3859,83167.84,
2019-04-04 04:00:00.000,19.3864,19.4098,19.2043,19.3,74233.76,
2019-04-04 05:00:00.000,19.2999,19.3376,19.0107,19.0573,64245.81,
2019-04-04 06:00:00.000,19.0573,19.2,18.71,19.160999999999998,102183.86,
2019-04-04 07:00:00.000,19.160999999999998,19.2688,18.9169,19.1123,130598.63,
2019-04-04 08:00:00.000,19.095,19.1038,18.7563,18.9342,145579.48,
2019-04-04 09:00:00.000,18.94,18.95,18.6628,18.7774,169100.03,
2019-04-04 10:00:00.000,18.7773,18.9395,18.65,18.9394,122452.05,
2019-04-04 11:00:00.000,18.9394,18.99,18.656,18.6829,168421.46,
2019-04-04 12:00:00.000,18.6696,18.779,18.3887,18.4366,168635.54,
2019-04-04 13:00:00.000,18.4518,18.7904,18.16,18.7495,137812.92,
2019-04-04 14:00:00.000,18.7389,19.01,18.4918,18.9109,165213.31,
2019-04-04 08:00:00.000,19.095,19.1038,18.7563,18.9342,145579.48,
2019-04-04 09:00:00.000,18.94,18.95,18.6628,18.7774,169100.03,
2019-04-04 10:00:00.000,18.7773,18.9395,18.65,18.9394,122452.05,
2019-04-04 11:00:00.000,18.9394,18.99,18.656,18.6829,168421.46,
2019-04-04 12:00:00.000,18.6696,18.779,18.3887,18.4366,168635.54,
2019-04-04 13:00:00.000,18.4518,18.7904,18.16,18.7495,137812.92,
2019-04-04 14:00:00.000,18.7389,19.01,18.4918,18.9109,165213.31,
2019-04-04 15:00:00.000,18.9128,19.1883,18.8877,19.1594,146232.71,
2019-04-04 16:00:00.000,19.1593,19.1593,18.87,19.107,146272.95,
2019-04-04 17:00:00.000,19.115,19.34,19.0197,19.1282,170541.51,
2019-04-04 18:00:00.000,19.1487,19.2789,18.9642,18.992,124600.07,
2019-04-04 19:00:00.000,18.971,19.2,18.8445,19.0785,126758.32,
2019-04-04 20:00:00.000,19.0785,19.1502,19.0006,19.1084,87367.46,
2019-04-04 21:00:00.000,19.1041,19.13,19.05,19.1201,94337.73,
2019-04-04 22:00:00.000,19.1216,19.15,18.96,19.006,92565.05,
2019-04-04 23:00:00.000,19.006,19.15,18.9806,19.125,109905.22,
2019-04-05 00:00:00.000,19.1198,19.2198,18.8888,19.0458,141504.8,
2019-04-05 01:00:00.000,19.0457,19.0661,18.9135,18.9226,83427.3,
2019-04-05 02:00:00.000,18.9225,19.025,18.8843,18.9911,96875.18,
2019-04-05 03:00:00.000,18.9963,19.0943,18.9698,19.041,92061.74,
2019-04-05 04:00:00.000,19.0407,19.0842,19.0,19.027,127523.27,
2019-04-05 05:00:00.000,19.027,19.1095,19.0,19.1095,86096.66,
2019-04-05 06:00:00.000,19.0966,19.1915,18.95,19.0487,106462.27,
2019-04-05 07:00:00.000,19.0485,19.0873,19.01,19.0582,67474.47,
2019-04-05 08:00:00.000,19.0659,19.1949,18.997,19.0946,74319.34,
2019-04-05 09:00:00.000,19.0975,19.1,19.0186,19.0592,80692.36,
2019-04-05 10:00:00.000,19.0687,19.4593,18.997,19.4207,127872.36,
2019-04-05 11:00:00.000,19.4311,19.4354,19.2497,19.3213,57587.4,
2019-04-05 12:00:00.000,19.3313,19.39,19.2463,19.3701,116322.31,
2019-04-05 13:00:00.000,19.3787,19.3898,19.25,19.2733,121889.88,
2019-04-05 14:00:00.000,19.2733,19.298,19.2192,19.2424,148092.12,
2019-04-05 15:00:00.000,19.2424,19.4312,19.23,19.3179,205629.53,
2019-04-05 16:00:00.000,19.3082,19.3999,19.3069,19.3381,191387.73,
2019-04-05 17:00:00.000,19.3501,19.3598,19.215,19.3164,132091.07,
2019-04-05 18:00:00.000,19.3098,19.3899,19.2233,19.3657,135112.34,
2019-04-05 19:00:00.000,19.3658,19.3866,19.1152,19.2001,86459.39,
2019-04-05 20:00:00.000,19.1866,19.2099,19.11,19.1423,48507.45,
2019-04-05 21:00:00.000,19.1423,19.1747,19.0412,19.0992,70196.19,
2019-04-05 22:00:00.000,19.0998,19.1535,19.05,19.1399,64057.15,
2019-04-05 23:00:00.000,19.1303,19.155,19.1037,19.143,58563.68,
2019-04-06 00:00:00.000,19.1342,19.1768,19.1209,19.1505,58820.54,
2019-04-06 01:00:00.000,19.1505,19.1691,19.1103,19.1178,75049.75,
2019-04-06 02:00:00.000,19.1117,19.2576,19.0412,19.1606,110583.85,
