,num_candles,median_multiplier,sdev_multiplier,window_lookback,ending_capital
1944,5,7,14,48,29539.867850232957
1945,5,7,16,48,31352.964428029223
1946,5,7,18,48,29346.66658747501
1947,5,7,20,48,31990.950543859537
1948,5,7,22,48,35739.86034549856
1949,5,7,24,48,35009.8119012394
1950,5,8,6,48,12941.299614174413
1951,5,8,8,48,18207.96181544752
1952,5,8,10,48,23575.195854436442
1953,5,8,12,48,32526.968592004254
1954,5,8,14,48,29507.659823921913
1955,5,8,16,48,30413.53215830068
1956,5,8,18,48,34464.364219739386
1957,5,8,20,48,34647.891482159845
1958,5,8,22,48,36136.93983057903
1959,5,8,24,48,35259.40673555512
1960,5,9,6,48,17468.402691629275
1961,5,9,8,48,20802.908219667603
1962,5,9,10,48,26564.003046364105
1963,5,9,12,48,29926.005278021163
1964,5,9,14,48,31411.5513914434
1965,5,9,16,48,28916.629971995022
1966,5,9,18,48,32230.838608985265
1967,5,9,20,48,35793.8931547224
1968,5,9,22,48,35961.63979618871
1969,5,9,24,48,35259.40673555512
1970,5,10,6,48,20642.822238283483
1971,5,10,8,48,21884.382557604244
1972,5,10,10,48,27499.79868381787
1973,5,10,12,48,28754.010354394828
1974,5,10,14,48,31519.85192958463
1975,5,10,16,48,32670.078779996125
1976,5,10,18,48,32529.20874566902
1977,5,10,20,48,35739.86034549856
1978,5,10,22,48,35259.40673555512
1979,5,10,24,48,35961.41987168706
1980,6,2,6,48,9977.79166577805
1981,6,2,8,48,11007.334109983027
1982,6,2,10,48,14907.659064699628
1983,6,2,12,48,17983.17512486604
1984,6,2,14,48,20462.543822033484
1985,6,2,16,48,22633.541854571133
1986,6,2,18,48,25901.72519156342
1987,6,2,20,48,28111.4155201422
1988,6,2,22,48,24552.108892283715
1989,6,2,24,48,29829.44328320477
1990,6,3,6,48,10374.559345698777
1991,6,3,8,48,12023.920616601155
1992,6,3,10,48,14951.177204227604
1993,6,3,12,48,18407.171987844507
1994,6,3,14,48,22707.695421205102
1995,6,3,16,48,25069.706694725315
1996,6,3,18,48,28230.499585137077
1997,6,3,20,48,24488.895388695524
1998,6,3,22,48,27723.48253318229
1999,6,3,24,48,31969.70934877819
2000,6,4,6,48,11144.994082034465
2001,6,4,8,48,12893.941076818322
2002,6,4,10,48,16893.837306564397
2003,6,4,12,48,19338.976347915333
2004,6,4,14,48,24389.67080933999
2005,6,4,16,48,27470.687005031654
2006,6,4,18,48,28345.244723704367
2007,6,4,20,48,25300.485444075126
2008,6,4,22,48,29547.789427051724
2009,6,4,24,48,30193.73967296362
2010,6,5,6,48,10723.543480049553
2011,6,5,8,48,14000.943003911272
2012,6,5,10,48,18495.068239921806
2013,6,5,12,48,18206.22141835243
2014,6,5,14,48,21980.937287092438
2015,6,5,16,48,28710.07563566519
2016,6,5,18,48,25709.112874464063
2017,6,5,20,48,27719.977955972055
2018,6,5,22,48,30200.823599943305
2019,6,5,24,48,33288.418939458716
2020,6,6,6,48,10141.802090361909
2021,6,6,8,48,15752.191765256139
2022,6,6,10,48,18271.802846915936
2023,6,6,12,48,20455.731364045416
2024,6,6,14,48,24316.64273329665
2025,6,6,16,48,33275.70408619914
2026,6,6,18,48,24740.649750647193
2027,6,6,20,48,28650.69602961473
2028,6,6,22,48,32620.386717848494
2029,6,6,24,48,33330.353443906075
2030,6,7,6,48,10509.955942925299
2031,6,7,8,48,14101.127127136124
2032,6,7,10,48,19904.65572515579
2033,6,7,12,48,23759.265060733374
2034,6,7,14,48,26577.178950806967
2035,6,7,16,48,28741.14800642347
2036,6,7,18,48,27511.600214544
2037,6,7,20,48,29488.160085315914
2038,6,7,22,48,32487.112149062235
2039,6,7,24,48,34904.10707990145
2040,6,8,6,48,12885.911861358825
2041,6,8,8,48,15998.121684071719
2042,6,8,10,48,18988.474289235826
2043,6,8,12,48,23677.426544972262
2044,6,8,14,48,32007.29886250359
2045,6,8,16,48,27210.23312942178
2046,6,8,18,48,28495.65861873435
2047,6,8,20,48,31250.221059248954
2048,6,8,22,48,32955.746129132174
2049,6,8,24,48,36132.4412642849
2050,6,9,6,48,13506.847410521697
2051,6,9,8,48,19228.707444159358
2052,6,9,10,48,20445.95425914168
2053,6,9,12,48,24924.8038465726
2054,6,9,14,48,31424.243753978855
2055,6,9,16,48,25971.15070126963
2056,6,9,18,48,29721.12275563297
2057,6,9,20,48,32614.991046744733
2058,6,9,22,48,33366.80085045376
2059,6,9,24,48,36132.4412642849
2060,6,10,6,48,12606.818440215075
2061,6,10,8,48,21262.606940523514
2062,6,10,10,48,22078.4878150262
2063,6,10,12,48,28300.977761175407
2064,6,10,14,48,28148.50971847094
2065,6,10,16,48,30790.838982237485
2066,6,10,18,48,30692.591523091025
2067,6,10,20,48,32297.3739138898
2068,6,10,22,48,35739.86034549856
2069,6,10,24,48,35009.8119012394
2070,7,2,6,48,10071.908152768678
2071,7,2,8,48,10790.611056963207
2072,7,2,10,48,11733.03058857923
2073,7,2,12,48,15239.698039711693
2074,7,2,14,48,18230.776491443896
2075,7,2,16,48,22756.01421191332
2076,7,2,18,48,22267.74629089156
2077,7,2,20,48,25844.695823866146
2078,7,2,22,48,24307.284898638773
2079,7,2,24,48,25179.79759508817
2080,7,3,6,48,10018.542714536363
2081,7,3,8,48,9964.217892704992
2082,7,3,10,48,14858.81235407275
2083,7,3,12,48,18195.357216717555
2084,7,3,14,48,19919.91590062267
2085,7,3,16,48,21359.02446146736
2086,7,3,18,48,26818.430143118247
2087,7,3,20,48,26255.202098072386
2088,7,3,22,48,23447.670678912422
2089,7,3,24,48,25597.384282244617
2090,7,4,6,48,10012.085080704857
