date,available_capital,capital_locked_in_trades,total_capital,trades_open
2018-09-09 00:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-09 01:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-09 02:00:00,16.332981210413323,3.2624046598202305,19.595385870233553,2
2018-09-09 03:00:00,17.799523732247742,1.758258483579801,19.557782215827544,1
2018-09-09 04:00:00,17.799523732247742,1.758258483579801,19.557782215827544,1
2018-09-09 05:00:00,17.799523732247742,1.758258483579801,19.557782215827544,1
2018-09-09 06:00:00,17.799523732247742,1.758258483579801,19.557782215827544,1
2018-09-09 07:00:00,17.799523732247742,1.758258483579801,19.557782215827544,1
2018-09-09 08:00:00,17.799523732247742,1.758258483579801,19.557782215827544,1
2018-09-09 09:00:00,17.799523732247742,1.758258483579801,19.557782215827544,1
2018-09-09 10:00:00,17.799523732247742,1.758258483579801,19.557782215827544,1
2018-09-09 11:00:00,17.799523732247742,1.758258483579801,19.557782215827544,1
2018-09-09 12:00:00,16.028471120889094,3.538210856804575,19.56668197769367,2
2018-09-09 13:00:00,16.028471120889094,3.538210856804575,19.56668197769367,2
2018-09-09 14:00:00,16.028471120889094,3.538210856804575,19.56668197769367,2
2018-09-09 15:00:00,17.075788094233452,1.7799523732247742,18.855740467458226,1
2018-09-09 16:00:00,17.075788094233452,1.7799523732247742,18.855740467458226,1
2018-09-09 17:00:00,15.472908765370754,3.398533563986881,18.871442329357635,2
2018-09-09 18:00:00,17.1215896510702,1.7075788094233453,18.829168460493545,1
2018-09-09 19:00:00,15.417991480788713,3.419737774530365,18.83772925531908,2
2018-09-09 20:00:00,15.417991480788713,3.419737774530365,18.83772925531908,2
2018-09-09 21:00:00,15.417991480788713,3.419737774530365,18.83772925531908,2
2018-09-09 22:00:00,15.417991480788713,3.419737774530365,18.83772925531908,2
2018-09-09 23:00:00,15.51375239391154,3.334129826275014,18.847882220186555,2
2018-09-10 00:00:00,15.51375239391154,3.334129826275014,18.847882220186555,2
2018-09-10 01:00:00,15.51375239391154,3.334129826275014,18.847882220186555,2
2018-09-10 02:00:00,15.51375239391154,3.334129826275014,18.847882220186555,2
2018-09-10 03:00:00,13.970134030717341,4.885505065666168,18.85563909638351,3
2018-09-10 04:00:00,12.675939781985907,6.197139528266735,18.873079310252642,4
