date,ticker,signal,price,stop_loss,tp
2019-01-24 11:00:00.000,LTC-BTC,long,0.009007,0.008811,2
2019-01-24 14:00:00.000,EOS-BTC,long,0.0006826,0.0006718999999999999,1
2019-01-24 17:00:00.000,EOS-BTC,long,0.0006821,0.0006718999999999999,1
2019-01-25 00:00:00.000,EOS-BTC,long,0.0006822,0.0006767,1
2019-01-25 01:00:00.000,ADA-BTC,short,1.194e-05,1.209e-05,1
2019-01-25 08:00:00.000,ETH-BTC,short,0.032487,0.032987,1
2019-01-25 20:00:00.000,EOS-BTC,long,0.0006833999999999999,0.0006772999999999999,0
2019-01-25 21:00:00.000,LTC-BTC,long,0.009205,0.009000000000000001,1
2019-01-26 16:00:00.000,ADA-BTC,short,1.189e-05,1.198e-05,2
2019-01-26 18:00:00.000,ETH-USDT,short,115.25,116.22,1
2019-01-26 21:00:00.000,ETH-BTC,short,0.032235,0.03258,1
2019-01-30 07:00:00.000,EOS-BTC,long,0.0006715,0.0006565000000000001,2
2019-01-30 08:00:00.000,LTC-BTC,long,0.009167,0.008967000000000001,1
2019-01-31 09:00:00.000,EOS-BTC,long,0.0006714,0.000665,1
2019-02-01 03:00:00.000,EOS-BTC,long,0.0006728,0.0006661000000000001,1
2019-02-01 11:00:00.000,EOS-BTC,long,0.0006749,0.0006661000000000001,2
2019-02-02 17:00:00.000,EOS-BTC,long,0.0006959,0.0006697,2
2019-02-02 17:00:00,BTC-USDT,long,3504.77,3444.01,0
2019-02-04 17:00:00.000,ADA-BTC,short,1.096e-05,1.113e-05,1
2019-02-04 20:00:00.000,ADA-BTC,short,1.097e-05,1.109e-05,2
2019-02-05 18:00:00.000,XRP-BTC,short,8.604e-05,8.713e-05,1
2019-02-05 19:00:00.000,XRP-BTC,short,8.53e-05,8.713e-05,0
2019-02-07 13:00:00,BTC-USDT,short,3399.55,3426.45,1
2019-02-07 18:00:00.000,ADA-BTC,short,1.073e-05,1.094e-05,0
2019-02-08 03:00:00.000,EOS-BTC,long,0.0007031,0.0006877000000000001,2
2019-02-09 18:00:00.000,ADA-BTC,long,1.127e-05,1.115e-05,2
2019-02-09 20:00:00.000,ADA-BTC,long,1.137e-05,1.115e-05,0
2019-02-10 12:00:00.000,ADA-BTC,long,1.149e-05,1.111e-05,1
2019-02-10 16:00:00.000,ETH-BTC,long,0.033264,0.032133,1
2019-02-10 16:00:00.000,EOS-BTC,long,0.0007547999999999999,0.0007388,2
2019-02-11 00:00:00.000,XRP-BTC,short,8.337e-05,8.442e-05,1
2019-02-11 14:00:00,BTC-USDT,long,3643.41,3615.53,0
2019-02-11 15:00:00.000,XRP-BTC,short,8.327e-05,8.44e-05,1
2019-02-11 16:00:00.000,ADA-BTC,long,1.155e-05,1.141e-05,0
2019-02-12 13:00:00.000,ETH-BTC,long,0.03368,0.033127,2
2019-02-12 14:00:00.000,ETH-USDT,long,123.24,119.51,1
2019-02-12 17:00:00.000,ADA-BTC,long,1.149e-05,1.128e-05,1
2019-02-13 20:00:00.000,ETH-BTC,long,0.034089999999999995,0.033586000000000005,1
2019-02-15 13:00:00.000,ADA-BTC,short,1.123e-05,1.14e-05,0
2019-02-16 23:00:00.000,LTC-BTC,long,0.012047,0.011914,2
2019-02-17 17:00:00,BTC-USDT,long,3667.58,3604.4,2
2019-02-20 03:00:00.000,LTC-BTC,long,0.012338,0.011939,2
2019-02-20 10:00:00.000,ETH-BTC,long,0.03731,0.0362,2
2019-02-20 13:00:00,BTC-USDT,long,3956.0,3920.69,1
2019-02-21 02:00:00.000,XRP-BTC,short,8.181e-05,8.369e-05,2
2019-02-23 04:00:00.000,ETH-BTC,long,0.037395,0.036957,2
2019-02-23 11:00:00.000,EOS-BTC,long,0.0009977,0.0009614,2
2019-02-23 11:00:00,BTC-USDT,long,4095.0,3933.15,1
2019-02-25 23:00:00.000,ETH-BTC,short,0.035949,0.036443,2
2019-02-26 03:00:00.000,ETH-USDT,short,136.33,139.1,1
2019-02-26 07:00:00,BTC-USDT,short,3801.98,3841.47,2
2019-02-26 09:00:00.000,LTC-BTC,short,0.01176,0.01191,2
