average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,total,0,1,2,3,4,total_trades
"[8, 25, 60]",0.8214,1.2192,0.2854,0.0723,0.4847,0.7749,0.6096,3.6577,169,247,122,41,128,707
"[5, 25, 55]",0.8640,1.3986,0.4190,0.0087,0.2958,0.6456,0.6053,3.6317,223,303,141,49,150,866
"[8, 25, 150]",0.8598,0.9806,0.1995,0.2309,0.6267,0.7341,0.6053,3.6316,212,284,132,44,139,811
"[13, 21, 233]",0.6488,0.4222,0.1241,0.2395,0.6841,1.5124,0.6052,3.6311,285,357,177,72,163,1054
"[5, 25, 100]",0.8079,1.5509,0.2568,0.1215,0.2307,0.6586,0.6044,3.6264,245,332,151,48,154,930
"[8, 15, 50]",0.4652,0.6987,0.3223,-0.1247,0.8866,1.3576,0.6010,3.6057,347,414,227,71,192,1251
"[21, 25, 34]",0.2604,-0.0113,0.3294,0.4975,0.9730,1.5413,0.5984,3.5904,229,277,140,48,138,832
"[10, 15, 40]",0.5305,0.6678,0.0969,-0.0638,1.1241,1.2218,0.5962,3.5773,363,459,266,84,198,1370
"[8, 21, 150]",0.7368,1.3135,0.2010,-0.0660,0.4384,0.9513,0.5958,3.5750,274,333,149,61,161,978
"[13, 30, 150]",0.3589,0.4929,0.2136,0.3941,1.0193,1.0809,0.5933,3.5597,165,221,122,40,119,667
"[10, 21, 150]",0.7935,1.0483,0.2180,0.0174,0.4809,0.9984,0.5927,3.5564,269,330,149,57,163,968
"[8, 25, 75]",0.9690,1.1922,0.2325,0.1124,0.4135,0.6316,0.5919,3.5512,176,259,126,41,131,733
"[13, 21, 150]",0.3606,0.6364,0.1675,0.2364,0.6632,1.4857,0.5917,3.5499,284,354,164,69,165,1036
"[8, 21, 144]",0.7473,1.3174,0.1418,-0.0800,0.4514,0.9583,0.5894,3.5361,272,334,150,60,160,976
"[13, 21, 55]",0.3361,0.6544,0.1837,0.1506,0.8626,1.3422,0.5883,3.5295,241,326,152,59,148,926
"[10, 21, 144]",0.8039,1.0483,0.1863,0.0053,0.4940,0.9892,0.5878,3.5270,267,330,150,56,162,965
"[13, 25, 200]",0.4728,0.6644,0.1038,0.3639,0.6387,1.2754,0.5865,3.5190,223,275,157,50,138,843
"[13, 21, 60]",0.3362,0.6786,0.1616,0.1587,0.7787,1.4014,0.5859,3.5152,245,333,156,60,149,943
"[5, 21, 34]",0.5069,0.9646,0.2459,-0.0117,0.6352,1.1693,0.5850,3.5102,209,283,138,42,144,816
"[8, 25, 144]",0.8660,0.9806,0.1541,0.2308,0.5427,0.7305,0.5841,3.5047,211,285,130,45,137,808
"[13, 21, 144]",0.3710,0.6622,0.1230,0.1812,0.6632,1.4927,0.5822,3.4933,285,354,165,68,164,1036
"[15, 30, 150]",0.4274,0.7351,0.0511,0.3191,0.8937,1.0627,0.5815,3.4891,172,220,128,43,117,680
"[5, 25, 75]",0.9239,1.3242,0.3061,0.0413,0.3127,0.5638,0.5787,3.4720,235,326,148,47,151,907
"[13, 25, 233]",0.4712,0.6040,0.1296,0.3559,0.6938,1.2134,0.5780,3.4680,222,277,159,51,137,846
"[5, 25, 60]",0.7886,1.3765,0.3634,0.0128,0.2792,0.6430,0.5772,3.4634,226,310,144,47,147,874
"[10, 25, 200]",0.6933,0.6177,0.2310,0.2554,0.7282,0.9119,0.5729,3.4375,211,275,152,49,128,815
"[10, 25, 233]",0.6929,0.5576,0.2575,0.2476,0.8184,0.8542,0.5714,3.4282,208,276,155,50,127,816
"[10, 15, 34]",0.3489,0.7156,0.0931,-0.0891,1.3033,1.0478,0.5699,3.4197,341,423,253,75,190,1282
"[8, 21, 89]",0.8177,1.3620,0.0761,-0.1616,0.4043,0.8944,0.5655,3.3929,243,319,142,57,151,912
"[15, 25, 200]",0.4854,0.5881,0.0612,0.3998,0.8470,1.0078,0.5649,3.3894,214,284,149,48,133,828
"[8, 21, 100]",0.8022,1.2767,0.1786,-0.1876,0.4062,0.9130,0.5649,3.3891,253,327,143,59,153,935
"[10, 30, 150]",0.4577,0.6176,0.1773,0.4667,0.6353,1.0310,0.5643,3.3855,180,234,122,46,119,701
"[13, 30, 144]",0.3895,0.4212,0.1532,0.3599,0.9667,1.0944,0.5642,3.3849,165,221,122,40,115,663
"[13, 21, 40]",0.2145,0.4788,0.1483,0.1876,0.8891,1.4664,0.5641,3.3847,214,295,134,54,138,835
"[8, 21, 60]",0.7263,1.2496,0.2045,-0.1829,0.5585,0.8010,0.5595,3.3570,227,307,136,50,143,863
"[8, 25, 40]",0.7104,1.0035,0.3988,0.0226,0.5885,0.6238,0.5579,3.3476,147,211,108,32,111,609
"[13, 21, 75]",0.3109,0.6895,0.1113,0.0755,0.6932,1.4634,0.5573,3.3438,256,327,162,67,152,964
"[21, 30, 40]",0.5222,0.3890,0.2698,0.3092,0.8522,0.9984,0.5568,3.3408,123,213,104,25,101,566
"[8, 25, 100]",0.8468,1.1782,0.2243,0.1476,0.2599,0.6783,0.5558,3.3351,195,272,126,40,130,763
"[15, 30, 144]",0.4580,0.6635,0.0042,0.2855,0.8410,1.0762,0.5547,3.3283,171,221,128,43,113,676
"[13, 21, 50]",0.2129,0.4926,0.1319,0.1774,0.8831,1.4257,0.5539,3.3235,234,323,149,57,142,905
"[15, 25, 233]",0.4861,0.5085,0.0856,0.3951,0.8883,0.9565,0.5534,3.3202,217,282,152,49,133,833
"[10, 25, 55]",0.4023,1.0730,0.3264,0.1069,0.6391,0.7655,0.5522,3.3132,163,238,125,42,116,684
"[5, 25, 40]",0.8426,1.2359,0.4134,-0.0237,0.2963,0.5415,0.5510,3.3060,194,272,129,43,129,767
"[8, 21, 75]",0.7199,1.2710,0.1079,-0.2005,0.5048,0.9021,0.5509,3.3052,237,302,139,55,148,881
"[8, 25, 89]",0.9136,1.1894,0.2495,0.1066,0.2604,0.5791,0.5498,3.2987,188,264,123,40,129,744
"[10, 21, 89]",0.8713,1.1626,0.2265,-0.0969,0.2569,0.8773,0.5496,3.2978,245,313,147,54,153,912
"[10, 21, 100]",0.8669,1.0773,0.3207,-0.1216,0.2536,0.8986,0.5493,3.2955,253,321,148,54,155,931
"[8, 30, 150]",0.5824,0.5111,0.1328,0.5478,0.4532,1.0587,0.5477,3.2860,198,244,119,47,127,735
"[10, 25, 50]",0.3114,1.0945,0.3259,0.1019,0.6595,0.7769,0.5450,3.2701,156,226,121,40,113,656
"[5, 15, 34]",0.3008,0.8559,0.3746,-0.0979,1.0831,0.7505,0.5445,3.2669,329,358,187,56,180,1110
"[10, 30, 144]",0.4935,0.5459,0.1167,0.4331,0.6437,1.0310,0.5440,3.2639,178,234,122,47,116,697
"[10, 21, 60]",0.8195,1.0176,0.2746,-0.0955,0.4282,0.7887,0.5388,3.2330,228,302,138,48,144,860
"[10, 25, 60]",0.3933,1.1075,0.3009,0.1071,0.5406,0.7826,0.5387,3.2320,167,242,125,42,117,693
"[5, 25, 89]",0.8280,1.3519,0.2623,0.0081,0.2193,0.5553,0.5375,3.2248,243,327,149,46,148,913
"[8, 30, 144]",0.6182,0.5111,0.0722,0.5244,0.4158,1.0561,0.5330,3.1979,195,243,119,47,124,728
"[8, 21, 55]",0.7214,1.1294,0.2442,-0.2374,0.5761,0.7554,0.5315,3.1892,228,300,135,49,141,853
"[13, 21, 89]",0.3903,0.7819,0.0633,0.0933,0.3889,1.4688,0.5311,3.1865,265,346,163,68,152,994
"[8, 21, 40]",0.5849,0.9862,0.2533,-0.1763,0.6948,0.8347,0.5296,3.1776,197,263,120,45,132,757
"[10, 21, 75]",0.7539,1.0744,0.2320,-0.1147,0.3684,0.8606,0.5291,3.1746,237,298,144,53,148,880
"[13, 21, 100]",0.3759,0.7578,0.1492,0.0686,0.4182,1.4039,0.5289,3.1736,274,349,165,68,154,1010
"[5, 30, 233]",0.8577,0.6378,-0.0595,0.3041,0.7485,0.6800,0.5281,3.1686,245,303,152,46,139,885
"[15, 30, 55]",0.5373,0.6402,0.0963,0.1243,0.7882,0.9377,0.5207,3.1240,137,183,98,38,97,553
"[10, 30, 50]",0.5557,0.6725,0.1899,0.2389,0.5359,0.9234,0.5194,3.1164,133,181,82,40,101,537
"[15, 30, 50]",0.5457,0.6582,0.0966,0.0671,0.7849,0.9599,0.5187,3.1122,127,177,94,36,94,528
"[10, 21, 55]",0.8143,0.9644,0.3036,-0.1381,0.4518,0.7159,0.5186,3.1118,227,296,134,46,142,845
"[13, 25, 150]",0.2932,0.7195,0.1036,0.2877,0.5693,1.1353,0.5181,3.1087,222,273,148,47,134,824
"[8, 25, 34]",0.5861,0.8565,0.3659,0.0979,0.4809,0.7199,0.5179,3.1073,127,186,92,27,99,531
"[15, 25, 150]",0.3616,0.6507,0.0617,0.3159,0.7812,0.9278,0.5165,3.0989,212,279,143,46,130,810
